datetime,humidity,temperature,PC0_1,PC0_3,PC0_5,PC10,PC1_0,PC2_5,PC5_0,PM0_1,PM0_3,PM0_5,PM10,PM1_0,PM2_5,PM5_0
05-04-2026-00-10-05,62.3,30.0,1620273.0,648109.0,320543.0,0.0,31627.0,2620.0,10.0,1.482721,17.49602,54.1606,93.03625,83.10322,92.57213,92.90529
05-04-2026-00-10-06,62.4,30.0,1634767.0,653906.0,325790.0,0.0,32010.0,2536.0,15.0,1.495984,17.65253,54.91735,93.96341,84.21005,93.37574,93.84111
05-04-2026-00-10-07,62.4,30.0,1667465.0,666986.0,334135.0,0.0,32519.0,2485.0,17.0,1.525906,18.00561,56.22495,95.62898,85.98369,94.96484,95.50668
05-04-2026-00-10-08,62.4,30.0,1708377.0,683351.0,343646.0,0.0,33261.0,2493.0,18.0,1.563345,18.44739,57.75454,97.90062,88.192,97.20264,97.77831
05-04-2026-00-10-09,62.4,30.0,1745036.0,698014.0,351797.0,0.0,34022.0,2501.0,18.0,1.596892,18.84323,59.08273,99.96619,90.21658,99.25619,99.84389
05-04-2026-00-10-10,62.4,30.0,1772884.0,709153.0,358167.0,0.0,34860.0,2513.0,18.0,1.622376,19.14394,60.11214,101.8034,92.01312,101.0978,101.6811
05-04-2026-00-10-11,62.4,30.0,1802710.0,721084.0,364663.0,0.0,35845.0,2547.0,18.0,1.64967,19.46601,61.17717,103.8957,93.97962,103.1856,103.7734
05-04-2026-00-10-12,62.4,30.0,1837261.0,734904.0,371480.0,0.0,37009.0,2624.0,17.0,1.681288,19.8391,62.32998,106.3676,96.19782,105.6828,106.2366
05-04-2026-00-10-13,62.4,30.0,1863868.0,745547.0,376362.0,0.0,37786.0,2660.0,15.0,1.705636,20.1264,63.17573,107.9937,97.75472,107.369,107.8628
05-04-2026-00-10-14,62.3,30.0,1866038.0,746415.0,375785.0,0.0,37705.0,2598.0,15.0,1.707622,20.14984,63.13324,107.6274,97.63781,107.0267,107.4964
05-04-2026-00-10-15,62.3,30.0,1850027.0,740010.0,372481.0,0.0,37700.0,2545.0,16.0,1.69297,19.97695,62.58236,106.907,97.08218,106.28,106.7847
05-04-2026-00-10-16,62.3,30.0,1814788.0,725915.0,368213.0,0.0,37756.0,2507.0,17.0,1.660723,19.59643,61.71369,106.0028,96.26441,105.3244,105.8805
05-04-2026-00-10-17,62.3,30.0,1772885.0,709154.0,361336.0,0.0,37671.0,2434.0,17.0,1.622377,19.14395,60.47464,104.413,94.94793,103.7456,104.2907
05-04-2026-00-10-18,62.3,30.0,1728909.0,691563.0,348911.0,0.0,36588.0,2312.0,14.0,1.582134,18.66909,58.57856,100.9863,92.06063,100.4161,100.8727
05-04-2026-00-10-19,62.3,30.0,1676144.0,670457.0,334932.0,0.0,35064.0,2175.0,11.0,1.533848,18.09932,56.40975,96.82851,88.49716,96.35785,96.72379
05-04-2026-00-10-20,62.3,30.0,1643606.0,657442.0,324876.0,0.0,34134.0,2102.0,11.0,1.504073,17.74797,54.90823,94.19999,86.14465,93.74244,94.09527
05-04-2026-00-10-21,62.3,30.0,1627318.0,650927.0,318289.0,0.0,33759.0,2085.0,12.0,1.489168,17.57209,53.97889,92.91277,84.87217,92.40935,92.80805
05-04-2026-00-10-22,62.3,30.0,1615934.0,646373.0,312321.0,0.0,33435.0,2051.0,12.0,1.47875,17.44917,53.17331,91.67236,83.77038,91.18415,91.5763
05-04-2026-00-10-23,62.3,30.0,1600238.0,640095.0,304925.0,0.0,32719.0,1950.0,10.0,1.464387,17.27968,52.15789,89.56739,82.09968,89.1491,89.47134
05-04-2026-00-10-24,62.4,30.0,1592227.0,636890.0,296551.0,0.0,31599.0,1824.0,9.0,1.457055,17.19317,51.11349,87.01777,80.03067,86.6245,86.93037
05-04-2026-00-10-25,62.4,30.0,1590689.0,636275.0,290781.0,0.0,30631.0,1802.0,14.0,1.455648,17.17657,50.43693,85.50301,78.46815,84.98196,85.41562
05-04-2026-00-10-26,62.4,30.0,1592055.0,636822.0,290726.0,0.0,30642.0,1876.0,18.0,1.456899,17.19132,50.44537,85.95259,78.48612,85.26882,85.85653
05-04-2026-00-10-27,62.4,30.0,1605838.0,642335.0,293021.0,0.0,31163.0,1973.0,20.0,1.469511,17.34015,50.85675,87.23064,79.37498,86.50647,87.13457
05-04-2026-00-10-28,62.4,30.0,1616876.0,646750.0,294912.0,0.0,31639.0,2049.0,20.0,1.479612,17.45934,51.19225,88.27976,80.14556,87.55346,88.17504
05-04-2026-00-10-29,62.4,30.0,1614804.0,645921.0,293911.0,0.0,31631.0,2070.0,19.0,1.477716,17.43697,51.05532,88.19775,80.00162,87.48455,88.09302
05-04-2026-00-10-30,62.4,30.0,1607782.0,643112.0,292279.0,0.0,31566.0,2098.0,18.0,1.47129,17.36114,50.79291,87.93932,79.68004,87.26328,87.83459
05-04-2026-00-10-31,62.4,30.0,1603853.0,641541.0,291484.0,0.0,31646.0,2165.0,16.0,1.467695,17.31871,50.65947,88.05589,79.61895,87.44428,87.95116
05-04-2026-00-10-32,62.3,30.0,1600261.0,640104.0,291066.0,0.0,31740.0,2231.0,14.0,1.464408,17.27993,50.57289,88.24355,79.61862,87.68222,88.13883
