datetime,humidity,temperature,PC0_1,PC0_3,PC0_5,PC10,PC1_0,PC2_5,PC5_0,PM0_1,PM0_3,PM0_5,PM10,PM1_0,PM2_5,PM5_0
05-04-2026-00-13-53,63.6,29.5,1192887.0,394465.0,254302.0,0.0,15748.0,439.0,7.0,0.996729,9.895872,36.45524,56.1568,49.61387,55.34947,56.1568
05-04-2026-00-13-54,63.6,29.5,1193218.0,396403.0,254554.0,0.0,16312.0,506.0,12.0,0.997005,9.939874,36.52559,58.11983,50.15584,56.76681,58.11983
05-04-2026-00-13-55,63.6,29.5,1194326.0,399536.0,253668.0,0.0,16713.0,553.0,16.0,0.997931,10.01148,36.50462,59.39067,50.46948,57.69479,59.39067
05-04-2026-00-13-56,63.6,29.5,1194406.0,401589.0,250646.0,0.0,16935.0,588.0,18.0,0.997998,10.05786,36.23542,59.99393,50.38568,58.06942,59.99393
05-04-2026-00-13-57,63.6,29.5,1195345.0,403868.0,248527.0,0.0,17242.0,641.0,21.0,0.998783,10.11006,36.06626,61.10968,50.47371,58.84974,61.10968
05-04-2026-00-13-58,63.6,29.5,1195967.0,405453.0,246918.0,0.0,17652.0,715.0,23.0,0.999303,10.14634,35.93452,62.45818,50.68401,60.02859,62.45818
05-04-2026-00-13-59,63.6,29.5,1196546.0,407832.0,247637.0,0.0,18164.0,808.0,21.0,0.999786,10.20049,36.06379,64.00174,51.24132,61.79702,64.00174
05-04-2026-00-14-00,63.6,29.5,1201829.0,415073.0,257059.0,0.0,18634.0,865.0,17.0,1.0042,10.36826,37.21557,65.96617,52.7854,64.09334,65.96617
05-04-2026-00-14-01,63.6,29.5,1203655.0,420439.0,265990.0,0.0,18746.0,887.0,15.0,1.005727,10.49085,38.27089,67.18314,53.93438,65.52412,67.18314
05-04-2026-00-14-02,63.7,29.5,1202192.0,423620.0,271863.0,0.0,18729.0,908.0,14.0,1.004504,10.56137,38.95478,67.97758,54.60419,66.46974,67.97758
05-04-2026-00-14-03,63.7,29.5,1201424.0,425659.0,278266.0,0.0,18784.0,921.0,11.0,1.003862,10.60673,39.66888,68.62165,55.36427,67.39401,68.62165
05-04-2026-00-14-04,63.8,29.5,1203657.0,429118.0,287233.0,0.0,19107.0,957.0,7.0,1.005728,10.68665,40.68534,69.97646,56.65046,69.15431,69.97646
05-04-2026-00-14-05,63.8,29.5,1207687.0,434093.0,298444.0,0.0,19712.0,1014.0,5.0,1.009096,10.80225,41.97176,72.24184,58.44246,71.69624,72.24184
05-04-2026-00-14-06,63.6,29.5,1214652.0,439889.0,309360.0,0.0,20220.0,1048.0,3.0,1.014915,10.93883,43.24839,74.18607,60.14391,73.84323,74.18607
05-04-2026-00-14-07,63.6,29.5,1220482.0,443771.0,316892.0,0.0,20566.0,1066.0,2.0,1.019786,11.03126,44.12755,75.46923,61.31174,75.23705,75.46923
05-04-2026-00-14-08,63.6,29.5,1220580.0,439429.0,314846.0,0.0,20686.0,1064.0,1.0,1.019868,10.9334,43.81597,75.17111,61.10067,75.00522,75.17111
05-04-2026-00-14-09,63.6,29.5,1218740.0,434357.0,310971.0,0.0,20776.0,1041.0,1.0,1.018331,10.81743,43.29532,74.36726,60.65559,74.26036,74.36726
05-04-2026-00-14-10,63.6,29.5,1223034.0,433633.0,308468.0,0.0,20868.0,1004.0,1.0,1.021919,10.80469,43.02118,73.74384,60.45798,73.5817,73.74384
