datetime,humidity,temperature,PC0_1,PC0_3,PC0_5,PC10,PC1_0,PC2_5,PC5_0,PM0_1,PM0_3,PM0_5,PM10,PM1_0,PM2_5,PM5_0
28-06-2026-00-00-00,64.8,30.0,38545.0,15418.0,5131.0,0.0,593.0,28.0,0.0,0.035273,0.416223,1.003126,1.668714,1.54653,1.650153,1.668714
28-06-2026-00-00-01,64.8,30.0,38529.0,15411.0,5086.0,0.0,584.0,26.0,0.0,0.035258,0.416044,0.997821,1.646872,1.53292,1.629395,1.646872
28-06-2026-00-00-02,64.8,29.9,38498.0,15399.0,5033.0,0.0,573.0,24.0,0.0,0.03523,0.415715,0.991514,1.617291,1.516724,1.605289,1.617291
28-06-2026-00-00-03,64.8,29.9,38484.0,15393.0,5005.0,0.0,564.0,22.0,0.0,0.035217,0.415561,0.988059,1.599275,1.504964,1.587273,1.599275
28-06-2026-00-00-04,64.8,30.0,38428.0,15371.0,4960.0,0.0,554.0,21.0,0.0,0.035167,0.414963,0.982307,1.577801,1.489614,1.565798,1.577801
28-06-2026-00-00-05,64.8,30.0,38305.0,15322.0,4894.0,0.0,541.0,19.0,0.0,0.035054,0.41363,0.973498,1.539801,1.468976,1.539801,1.539801
28-06-2026-00-00-06,64.8,30.0,38104.0,15241.0,4801.0,0.0,526.0,18.0,0.0,0.034869,0.411455,0.960635,1.508229,1.442637,1.508229,1.508229
28-06-2026-00-00-07,64.8,30.0,37815.0,15126.0,4660.0,0.0,505.0,16.0,0.0,0.034605,0.408343,0.941441,1.462373,1.403925,1.462373,1.462373
28-06-2026-00-00-08,64.8,30.0,37500.0,15000.0,4514.0,0.0,482.0,14.0,0.0,0.034317,0.404936,0.921279,1.414917,1.362595,1.414917,1.414917
28-06-2026-00-00-09,64.8,30.0,37225.0,14890.0,4396.0,0.0,461.0,12.0,0.0,0.034065,0.401964,0.90488,1.373326,1.327259,1.373326,1.373326
28-06-2026-00-00-10,64.8,30.0,36940.0,14776.0,4268.0,0.0,441.0,11.0,0.0,0.033804,0.398887,0.887132,1.331569,1.290734,1.331569,1.331569
28-06-2026-00-00-11,64.8,30.0,36685.0,14674.0,4160.0,0.0,422.0,10.0,0.0,0.033571,0.396134,0.871983,1.2963,1.259039,1.2963,1.2963
28-06-2026-00-00-12,64.8,29.9,36451.0,14580.0,4076.0,0.0,407.0,9.0,0.0,0.033357,0.393611,0.859906,1.266724,1.233034,1.266724,1.266724
28-06-2026-00-00-13,64.8,29.9,36247.0,14499.0,4023.0,0.0,395.0,9.0,0.0,0.03317,0.391408,0.851591,1.246873,1.213182,1.246873,1.246873
28-06-2026-00-00-14,64.8,30.0,36117.0,14447.0,4016.0,0.0,389.0,7.0,0.0,0.033051,0.390005,0.849381,1.232632,1.205963,1.232632,1.232632
28-06-2026-00-00-15,64.8,30.0,36002.0,14400.0,4015.0,0.0,385.0,7.0,0.0,0.032946,0.388759,0.848082,1.227778,1.201109,1.227778,1.227778
28-06-2026-00-00-16,64.8,30.0,35868.0,14347.0,4007.0,0.0,382.0,7.0,0.0,0.032824,0.387319,0.845737,1.22204,1.195371,1.22204,1.22204
28-06-2026-00-00-17,64.8,30.0,35692.0,14276.0,3983.0,0.0,377.0,7.0,0.0,0.032662,0.385412,0.841003,1.213137,1.186468,1.213137,1.213137
28-06-2026-00-00-18,64.8,30.0,35519.0,14207.0,3960.0,0.0,373.0,7.0,0.0,0.032504,0.383542,0.836551,1.20471,1.178041,1.20471,1.20471
28-06-2026-00-00-19,64.8,30.0,35354.0,14141.0,3954.0,0.0,369.0,7.0,0.0,0.032353,0.381763,0.83413,1.199187,1.172518,1.199187,1.199187
28-06-2026-00-00-20,64.8,30.0,35249.0,14099.0,3976.0,0.0,368.0,7.0,0.0,0.032257,0.380633,0.835477,1.199499,1.17283,1.199499,1.199499
28-06-2026-00-00-21,64.8,30.0,35153.0,14061.0,3992.0,0.0,369.0,7.0,0.0,0.032169,0.379591,0.836228,1.209054,1.174745,1.201414,1.209054
28-06-2026-00-00-22,64.8,29.9,35028.0,14011.0,3983.0,0.0,368.0,7.0,0.0,0.032055,0.378243,0.833919,1.210234,1.171562,1.198231,1.210234
