datetime,humidity,temperature,PC0_1,PC0_3,PC0_5,PC10,PC1_0,PC2_5,PC5_0,PM0_1,PM0_3,PM0_5,PM10,PM1_0,PM2_5,PM5_0
28-06-2026-00-00-00,63.8,30.2,31405.0,8471.0,3364.0,0.0,59.0,0.0,0.0,0.026241,0.21735,0.56875,0.620975,0.618676,0.620975,0.620975
28-06-2026-00-00-01,63.8,30.2,31293.0,8363.0,3199.0,0.0,56.0,0.0,0.0,0.026148,0.214828,0.548966,0.598256,0.596414,0.598256,0.598256
28-06-2026-00-00-02,63.9,30.2,30151.0,7926.0,2998.0,0.0,51.0,0.0,0.0,0.025193,0.204015,0.517146,0.560492,0.560492,0.560492,0.560492
28-06-2026-00-00-03,63.9,30.2,28455.0,7341.0,2779.0,0.0,45.0,0.0,0.0,0.023776,0.189391,0.479632,0.518021,0.518021,0.518021,0.518021
28-06-2026-00-00-04,63.8,30.2,27269.0,6944.0,2624.0,0.0,42.0,0.0,0.0,0.022785,0.17946,0.453528,0.489261,0.489261,0.489261,0.489261
28-06-2026-00-00-05,63.8,30.2,27334.0,6994.0,2617.0,0.0,45.0,0.0,0.0,0.022839,0.180636,0.454055,0.492384,0.492384,0.492384,0.492384
28-06-2026-00-00-06,64.0,30.2,28376.0,7601.0,2772.0,0.0,57.0,0.0,0.0,0.02371,0.19519,0.484719,0.5418,0.53258,0.5418,0.5418
28-06-2026-00-00-07,64.0,30.2,29461.0,8530.0,3084.0,0.0,76.0,2.0,0.0,0.024616,0.217063,0.539174,0.630601,0.60294,0.630601,0.630601
28-06-2026-00-00-08,63.9,30.2,30398.0,9356.0,3366.0,0.0,92.0,3.0,0.0,0.0254,0.236484,0.588039,0.705866,0.665289,0.705866,0.705866
28-06-2026-00-00-09,63.9,30.2,31265.0,10106.0,3624.0,0.0,106.0,3.0,0.0,0.026124,0.254121,0.632636,0.770396,0.721512,0.770396,0.770396
28-06-2026-00-00-10,63.8,30.2,32071.0,10789.0,3861.0,0.0,118.0,4.0,0.0,0.026798,0.270211,0.673486,0.826669,0.772248,0.826669,0.826669
28-06-2026-00-00-11,63.8,30.2,32822.0,11414.0,4079.0,0.0,128.0,4.0,0.0,0.027426,0.284945,0.710992,0.876871,0.81831,0.876871,0.876871
28-06-2026-00-00-12,63.9,30.2,33136.0,11847.0,4233.0,0.0,135.0,4.0,0.0,0.027687,0.294968,0.73707,0.910897,0.850024,0.910897,0.910897
